CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI
01295;Peyzieux-sur-Saône;82;01;012;0132;8213;01000;002;0;04;09;112;240100594;CC
01296;Pirajoux;82;01;012;0111;8202;01000;071;0;04;07;112;240100651;CC
01297;Pizay;82;01;012;0120;8214;01000;002;0;05;09;112;240100610;CC
01298;Plagne;82;01;014;0103;8219;01000;998;0;02;00;300;240100891;CC
01299;Le Plantay;82;01;012;0108;8214;01000;002;0;05;09;112;240100677;CC
01300;Le Poizat;82;01;014;0122;8203;01000;998;0;04;00;300;240100909;CC
01301;Polliat;82;01;012;0143;8202;01000;071;0;07;07;112;240100628;CA
01302;Pollieu;82;01;011;0104;8216;01000;294;0;03;02;212;240100354;CC
01303;Poncin;82;01;014;0124;8201;01000;997;0;06;00;120;240100784;CC
01304;Pont-d'Ain;82;01;012;0125;8201;01105;002;1;11;09;112;240100834;CC
01305;Pont-de-Vaux;82;01;012;0126;0053;01117;997;1;13;00;120;240100685;CC
01306;Pont-de-Veyle;82;01;012;0127;0053;01121;088;1;14;06;112;240100826;CC
01307;Port;82;01;014;0122;8203;01202;545;2;21;01;221;240100909;CC
01308;Pougny;82;01;013;0112;8219;01000;037;0;05;08;112;240100750;CC
01309;Pouillat;82;01;012;0133;8202;01000;071;0;02;07;112;240100636;CC
01310;Prémeyzel;82;01;011;0104;8216;01000;294;0;04;02;212;240100354;CC
01311;Prémillieu;82;01;011;0115;8203;01000;540;0;01;01;222;240100578;CC
01312;Pressiat;82;01;012;0133;8202;01000;071;0;04;07;112;240100636;CC
01313;Prévessin-Moëns;82;01;013;0113;8219;00652;037;6;61;08;111;240100750;CC
01314;Priay;82;01;012;0125;8201;01000;002;0;06;09;112;240100834;CC
01316;Pugieu;82;01;011;0136;8216;01000;294;0;03;02;212;240100743;CC
01317;Ramasse;82;01;012;0107;8202;01000;071;0;04;07;112;240100693;CC
01318;Rancé;82;01;012;0142;8213;01000;002;0;05;09;112;240100735;CC
01319;Relevant;82;01;012;0130;8213;01000;002;0;04;09;112;240100644;CC
01320;Replonges;82;01;012;0102;0053;01113;088;1;13;06;112;240100818;CC
01321;Revonnas;82;01;012;0107;8202;01114;071;1;13;07;112;240100693;CC
01322;Reyrieux;82;01;012;0142;8213;00758;002;7;73;09;111;240100602;CC
01323;Reyssouze;82;01;012;0126;0053;01000;088;0;05;06;112;240100685;CC
01325;Rignieux-le-Franc;82;01;012;0119;8201;01000;002;0;05;09;112;240100883;CC
01328;Romans;82;01;012;0110;8213;01000;997;0;05;00;120;240100644;CC
01329;Rossillon;82;01;011;0136;8216;01000;998;0;03;00;300;240100743;CC
01330;Ruffieu;82;01;011;0109;8203;01000;998;0;03;00;300;240100370;CC
01331;Saint-Alban;82;01;014;0124;8201;01000;998;0;03;00;300;240100784;CC
01332;Saint-André-de-Bâgé;82;01;012;0102;0053;01119;088;1;14;06;112;240100818;CC
01333;Saint-André-de-Corcy;82;01;012;0142;8214;01110;002;1;12;09;112;240100875;CC
01334;Saint-André-d'Huiriat;82;01;012;0127;0053;01000;088;0;05;06;112;240100826;CC
01335;Saint-André-le-Bouchoux;82;01;012;0110;8213;01000;002;0;04;09;112;240100644;CC
01336;Saint-André-sur-Vieux-Jonc;82;01;012;0139;8202;01000;071;0;06;07;112;240100628;CA
01337;Saint-Bénigne;82;01;012;0126;0053;01117;997;1;13;00;120;240100685;CC
01338;Saint-Benoît;82;01;011;0118;8209;01000;002;0;05;09;112;240100347;CC
01339;Saint-Bernard;82;01;012;0134;8213;00758;002;7;73;09;111;240100602;CC
01340;Saint-Bois;82;01;011;0104;8216;01000;294;0;03;02;212;240100347;CC
01341;Saint-Champ;82;01;011;0104;8216;01000;294;0;03;02;212;240100354;CC
01342;Sainte-Croix;82;01;012;0120;8214;01000;002;0;05;09;112;240100610;CC
01343;Saint-Cyr-sur-Menthon;82;01;012;0127;0053;01000;088;0;06;06;112;240100826;CC
01344;Saint-Denis-lès-Bourg;82;01;012;0143;8202;01501;071;5;51;07;111;240100628;CA
01345;Saint-Denis-en-Bugey;82;01;011;0101;8201;01302;002;3;32;09;112;240100883;CC
01346;Saint-Didier-d'Aussiat;82;01;012;0121;8202;01000;071;0;05;07;112;240100156;CC
01347;Saint-Didier-de-Formans;82;01;012;0134;8213;00758;002;7;73;09;111;240100602;CC
01348;Saint-Didier-sur-Chalaronne;82;01;012;0132;8213;01118;997;1;14;00;120;240100594;CC
01349;Saint-Éloi;82;01;012;0119;8201;01000;002;0;04;09;112;240100883;CC
01350;Saint-Étienne-du-Bois;82;01;012;0133;8202;01000;071;0;07;07;112;240100636;CC
01351;Saint-Étienne-sur-Chalaronne;82;01;012;0132;8213;01000;002;0;06;09;112;240100594;CC
