CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE2010;UU2010;AU2010;TUU2010;TDUU2010;TAU2010;CATAEU2010;EPCI;NATURE_EPCI;POP2010;POP1999;CAT_ZDIFF;MODE_COLLECTE;GR_ROTATION
76164;Caudebec-en-Caux;23;76;763;7610;2306;76105;997;1;11;00;120;200010700;CC;2279;2338;2;1;2
76165;Caudebec-lès-Elbeuf;23;76;763;7661;2307;00755;012;7;72;09;111;200023414;CA;9788;9902;2;1;5
76166;Le Caule-Sainte-Beuve;23;76;761;7602;0055;76000;998;0;04;00;300;247600687;CC;454;402;1;1;1
76167;Cauville-sur-Mer;23;76;762;7637;2306;76701;032;7;71;08;111;247600596;CA;1435;1242;1;1;1
76168;Les Cent-Acres;23;76;761;7635;2305;76000;106;0;01;06;112;247600703;CC;36;39;1;1;5
76169;La Cerlangue;23;76;762;7648;2306;76000;032;0;06;08;112;247600539;CC;1290;1108;1;1;1
76170;La Chapelle-du-Bourgay;23;76;761;7635;2305;76000;106;0;03;06;112;247600703;CC;129;95;1;1;2
76171;La Chapelle-Saint-Ouen;23;76;761;7601;2307;76000;012;0;02;09;112;247600794;CC;99;72;1;1;2
76172;La Chapelle-sur-Dun;23;76;761;7622;2305;76000;998;0;03;00;300;247600737;CC;187;207;1;1;3
76173;La Chaussée;23;76;761;7635;2305;76000;106;0;04;06;112;247600703;CC;489;290;1;1;4
76174;Cideville;23;76;763;7654;2307;76000;012;0;04;09;112;247600778;CC;296;274;1;1;4
76175;Clais;23;76;761;7634;2305;76000;000;0;04;00;400;247600604;CC;227;202;1;1;1
76176;Clasville;23;76;761;7609;2305;76000;998;0;04;00;300;247600380;CC;263;222;1;1;5
76177;Claville-Motteville;23;76;763;7611;2307;76000;012;0;04;09;112;247600760;CC;268;233;1;1;3
76178;Cléon;23;76;763;7661;2307;00755;012;7;72;09;111;200023414;CA;5606;6032;2;1;5
76179;Clères;23;76;763;7611;2307;76000;012;0;06;09;112;247600760;CC;1347;1261;1;1;5
