CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
24375;Saint-Aubin-de-Nabirat;24;75;200041440;CC;244;2423;7203;24000;0;03;998;00;300;46127
24376;Saint Aulaye-Puymangou;24;75;242400935;CC;243;2409;7202;24000;0;06;000;00;400;24354
24377;Saint-Avit-de-Vialard;24;75;200041168;CC;244;2425;7203;24000;0;03;000;00;400;24067
24378;Saint-Avit-Rivière;24;75;200034833;CC;241;2408;7201;24000;0;02;000;00;400;24223
24379;Saint-Avit-Sénieur;24;75;200034833;CC;241;2408;7201;24000;0;04;000;00;400;24223
24380;Saint-Barthélemy-de-Bellegarde;24;75;200040384;CC;243;2409;7205;24000;0;05;998;00;300;24294
24381;Saint-Barthélemy-de-Bussière;24;75;200071819;CC;242;2413;7202;24000;0;04;000;00;400;24311
24382;Saint-Capraise-de-Lalinde;24;75;200034833;CC;241;2408;7201;24000;0;05;109;06;112;24223
24383;Saint-Capraise-d'Eymet;24;75;200040889;CC;241;2419;7201;24000;0;03;000;00;400;47057
24384;Saint-Cassien;24;75;200034833;CC;241;2408;7211;24000;0;01;000;00;400;24223
24385;Saint-Cernin-de-Labarde;24;75;200040889;CC;241;2419;7201;24000;0;04;109;06;112;24037
24386;Saint-Cernin-de-l'Herm;24;75;200041440;CC;244;2423;7211;24000;0;04;000;00;400;24035
24388;Saint-Chamassy;24;75;200041168;CC;244;2425;7203;24000;0;05;000;00;400;24067
24389;Saint-Cirq;24;75;200041168;CC;244;2425;7203;24000;0;03;000;00;400;24067
24390;Saint-Crépin-d'Auberoche;24;75;200040392;CA;243;2407;7202;24000;0;04;087;07;112;24322
24391;Saint-Crépin-de-Richemont;24;75;200041572;CC;242;2403;7202;24000;0;04;000;00;400;24064
24392;Saint-Crépin-et-Carlucet;24;75;200040830;CC;244;2420;7203;24000;0;05;000;00;400;24520
24393;Sainte-Croix;24;75;200034833;CC;241;2408;7201;24000;0;02;000;00;400;24223
24394;Sainte-Croix-de-Mareuil;24;75;200041572;CC;242;2403;7202;24000;0;03;000;00;400;16015
24395;Saint-Cybranet;24;75;200041440;CC;244;2423;7203;24000;0;04;998;00;300;24520
24396;Saint-Cyprien;24;75;200041051;CC;244;2423;7203;24000;0;06;000;00;400;24396
24397;Saint-Cyr-les-Champagnes;24;75;242401024;CC;242;2406;7202;24000;0;04;000;00;400;19153
24398;Saint-Estèphe;24;75;200071819;CC;242;2413;7202;24000;0;05;000;00;400;24311
24399;Saint-Étienne-de-Puycorbier;24;75;200069094;CC;243;2424;7202;24000;0;03;998;00;300;24299
24401;Sainte-Eulalie-d'Ans;24;75;200041150;CC;244;2405;7202;24000;0;04;000;00;400;24164
24402;Sainte-Eulalie-d'Eymet;24;75;200040889;CC;241;2419;7201;24000;0;02;000;00;400;24167
24403;Saint-Félix-de-Bourdeilles;24;75;200041572;CC;242;2403;7202;24000;0;02;000;00;400;24064
24404;Saint-Félix-de-Reillac-et-Mortemart;24;75;200041168;CC;244;2425;7202;24000;0;04;000;00;400;24067
24405;Saint-Félix-de-Villadeix;24;75;200034833;CC;241;2408;7201;24000;0;04;998;00;300;24223
24406;Sainte-Foy-de-Belvès;24;75;200041051;CC;244;2423;7203;24000;0;03;000;00;400;24035
24407;Sainte-Foy-de-Longas;24;75;200034833;CC;241;2408;7201;24000;0;04;998;00;300;24223
24408;Saint-Front-d'Alemps;24;75;242400752;CC;242;2421;7202;24000;0;04;087;07;112;24064
24409;Saint-Front-de-Pradoux;24;75;200069094;CC;243;2424;7202;24204;2;22;460;01;221;24299
24410;Saint-Front-la-Rivière;24;75;200071819;CC;242;2413;7202;24000;0;05;000;00;400;24311
24411;Saint-Front-sur-Nizonne;24;75;200071819;CC;242;2413;7202;24000;0;03;610;01;222;24311
24412;Saint-Geniès;24;75;200040830;CC;244;2420;7203;24000;0;05;998;00;300;24520
24413;Saint-Georges-Blancaneix;24;75;200070647;CA;241;2410;7201;24000;0;04;109;06;112;24037
24414;Saint-Georges-de-Montclard;24;75;200069094;CC;243;2412;7201;24000;0;04;109;06;112;24037
24415;Saint-Géraud-de-Corps;24;75;200034197;CC;241;2411;7201;24000;0;04;998;00;300;24294
24416;Saint-Germain-de-Belvès;24;75;200041051;CC;244;2423;7203;24000;0;03;000;00;400;24035
24417;Saint-Germain-des-Prés;24;75;242401024;CC;242;2406;7202;24000;0;05;000;00;400;24164
24418;Saint-Germain-du-Salembre;24;75;200040095;CC;243;2424;7202;24000;0;05;998;00;300;24309
24419;Saint-Germain-et-Mons;24;75;200070647;CA;241;2402;7201;00553;5;51;109;06;111;24037
24420;Saint-Géry;24;75;200070647;CA;241;2410;7202;24000;0;04;998;00;300;24299
24421;Saint-Geyrac;24;75;200040392;CA;243;2407;7202;24000;0;04;087;07;112;24322
24422;Saint-Hilaire-d'Estissac;24;75;200069094;CC;243;2412;7202;24000;0;03;998;00;300;24309
24423;Sainte-Innocence;24;75;200040889;CC;241;2419;7201;24000;0;02;000;00;400;24167
24424;Saint-Jean-d'Ataux;24;75;200040095;CC;243;2424;7202;24000;0;03;998;00;300;24309
24425;Saint-Jean-de-Côle;24;75;242400752;CC;242;2421;7202;24000;0;04;998;00;300;24551
24426;Saint-Jean-d'Estissac;24;75;200069094;CC;243;2412;7202;24000;0;03;998;00;300;24309
24427;Saint-Jean-d'Eyraud;24;75;200069094;CC;243;2412;7201;24000;0;03;109;06;112;24037
24428;Saint-Jory-de-Chalais;24;75;242400752;CC;242;2421;7202;24000;0;05;000;00;400;24551
24429;Saint-Jory-las-Bloux;24;75;242401024;CC;242;2406;7202;24000;0;04;998;00;300;24551
24431;Saint-Julien-de-Crempse;24;75;200069094;CC;243;2412;7201;24000;0;04;109;06;112;24037
24432;Saint-Julien-de-Lampon;24;75;200040830;CC;244;2420;7203;24000;0;05;998;00;300;46309
24433;Saint-Julien-d'Eymet;24;75;200040889;CC;241;2419;7201;24000;0;03;000;00;400;24167
24434;Saint-Just;24;75;200040400;CC;243;2403;7202;24000;0;03;000;00;400;24352
24436;Saint-Laurent-des-Hommes;24;75;200069094;CC;243;2424;7205;24000;0;06;998;00;300;24294
24437;Saint-Laurent-des-Vignes;24;75;200070647;CA;241;2410;7201;00553;5;51;109;06;111;24037
24438;Saint-Laurent-la-Vallée;24;75;200041440;CC;244;2423;7203;24000;0;04;000;00;400;24035
24441;Saint-Léon-d'Issigeac;24;75;200040889;CC;241;2419;7201;24000;0;03;000;00;400;47057
24442;Saint-Léon-sur-l'Isle;24;75;200040095;CC;243;2417;7202;24000;0;07;997;00;120;24309
24443;Saint-Léon-sur-Vézère;24;75;200041168;CC;244;2425;7202;24000;0;04;000;00;400;24291
24444;Saint-Louis-en-l'Isle;24;75;200069094;CC;243;2424;7202;24204;2;22;460;01;221;24299
24445;Saint-Marcel-du-Périgord;24;75;200034833;CC;241;2408;7201;24000;0;03;998;00;300;24223
24446;Saint-Marcory;24;75;200034833;CC;241;2408;7211;24000;0;02;000;00;400;24035
24448;Saint-Martial-d'Albarède;24;75;242401024;CC;242;2406;7202;24000;0;04;000;00;400;24164
24449;Saint-Martial-d'Artenset;24;75;200040384;CC;243;2409;7205;24000;0;05;998;00;300;24294
24450;Saint-Martial-de-Nabirat;24;75;200041440;CC;244;2423;7203;24000;0;05;000;00;400;46127
24451;Saint-Martial-de-Valette;24;75;200071819;CC;242;2413;7202;24109;1;13;610;01;221;24311
24452;Saint-Martial-Viveyrol;24;75;200040400;CC;243;2416;7202;24000;0;03;000;00;400;24352
24453;Saint-Martin-de-Fressengeas;24;75;242400752;CC;242;2421;7202;24000;0;04;000;00;400;24551
24454;Saint-Martin-de-Gurson;24;75;200034197;CC;241;2411;7205;24000;0;05;998;00;300;24294
24455;Saint-Martin-de-Ribérac;24;75;200040400;CC;243;2416;7202;24202;2;21;556;01;221;24352
24456;Saint-Martin-des-Combes;24;75;200069094;CC;243;2412;7201;24000;0;03;109;06;112;24037
