CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
80288;Estrées-Deniécourt;22;80;804;8015;2219;2211;80000;000;9Z;00;0;04;80620;248000549;CC;6
80290;Estrées-lès-Crécy;22;80;801;8019;2211;2209;80000;000;9Z;00;0;04;80222;200011997;CC;6
80291;Estrées-sur-Noye;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80010;248000531;CA;2
80292;Étalon;22;80;803;8038;2219;2210;80000;000;9Z;00;0;03;80685;ZZZZZZZZZ;;6
80293;Ételfay;22;80;803;8027;2219;2210;80000;000;9Z;00;0;04;80561;248000739;CC;5
80294;Éterpigny;22;80;804;8033;2219;2211;80000;318;4O;01;0;03;80620;248000721;CC;2
80295;Étinehem;22;80;804;8014;2202;2210;80000;000;9Z;00;0;04;80016;248000747;CC;6
80296;L'Étoile;22;80;802;8034;2202;2210;80000;032;1T;08;0;06;80318;248000457;CC;2
80297;Étréjust;22;80;801;8032;2212;0055;80000;000;9Z;00;0;01;80013;248000580;CC;6
80298;Étricourt-Manancourt;22;80;804;8016;2219;2211;80000;000;9Z;00;0;04;80620;248000465;CC;6
80299;La Faloise;22;80;803;8005;2202;2210;80000;032;1T;08;0;04;80010;248000523;CC;2
80300;Falvy;22;80;804;8030;2219;2211;80000;000;9Z;00;0;03;80585;248000358;CC;6
80301;Famechon;22;80;802;8035;2202;2210;80000;000;9Z;00;0;03;80630;248000762;CC;6
80302;Faverolles;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80561;248000739;CC;6
80303;Favières;22;80;801;8039;2211;2209;80000;000;9Z;00;0;04;80688;200011997;CC;6
80304;Fay;22;80;804;8015;2219;2211;80000;000;9Z;00;0;02;80620;248000549;CC;6
80305;Ferrières;22;80;802;8034;2202;2210;80000;032;1T;08;0;04;80021;248000481;CC;2
80306;Fescamps;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80561;248000739;CC;6
80307;Feuillères;22;80;804;8033;2219;2211;80000;000;9Z;00;0;03;80620;248000721;CC;6
80308;Feuquières-en-Vimeu;22;80;801;8029;2212;0055;80118;000;9Z;00;1;14;80308;248000630;CC;4
80310;Fienvillers;22;80;802;8012;2202;2210;80000;032;1T;08;0;05;80253;248000689;CC;2
80311;Fignières;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80561;248000739;CC;6
80312;Fins;22;80;804;8036;2219;2211;80000;000;9Z;00;0;04;80620;248000572;CC;6
80313;Flaucourt;22;80;804;8033;2219;2211;80000;318;4O;01;0;04;80620;248000721;CC;2
80314;Flers;22;80;804;8016;2219;2211;80000;000;9Z;00;0;03;62080;248000465;CC;6
80315;Flers-sur-Noye;22;80;803;8005;2202;2210;80000;032;1T;08;0;04;80010;248000523;CC;2
80316;Flesselles;22;80;802;8041;2202;2210;80103;032;1T;08;1;11;80798;248000697;CC;2
80317;Fleury;22;80;802;8017;2202;2210;80000;032;1T;08;0;04;80211;248000648;CC;2
80318;Flixecourt;22;80;802;8034;2202;2210;80115;032;1T;08;1;13;80318;248000457;CC;2
80319;Fluy;22;80;802;8026;2202;2210;80000;032;1T;08;0;04;80021;248000762;CC;2
80320;Folies;22;80;803;8037;2219;2210;80000;000;9Z;00;0;02;80680;248000507;CC;6
80321;Folleville;22;80;803;8005;2202;2210;80000;032;1T;08;0;02;80010;248000523;CC;2
80322;Fonches-Fonchette;22;80;803;8038;2219;2210;80000;000;9Z;00;0;03;80685;ZZZZZZZZZ;;6
80324;Fontaine-le-Sec;22;80;801;8032;2212;0055;80000;000;9Z;00;0;03;80606;248000580;CC;6
80325;Fontaine-lès-Cappy;22;80;804;8015;2219;2211;80000;000;9Z;00;0;02;80620;248000549;CC;6
80326;Fontaine-sous-Montdidier;22;80;803;8027;2219;2210;80000;000;9Z;00;0;03;80561;248000739;CC;6
80327;Fontaine-sur-Maye;22;80;801;8019;2211;2209;80000;000;9Z;00;0;03;80222;200011997;CC;6
80328;Fontaine-sur-Somme;22;80;801;8023;2202;2210;80000;999;1T;00;0;04;80001;248000614;CC;3
80329;Forceville;22;80;802;8003;2202;2210;80000;000;9Z;00;0;03;80016;248000747;CC;6
80330;Forceville-en-Vimeu;22;80;801;8032;2212;0055;80000;000;9Z;00;0;04;80606;248000580;CC;6
80331;Forest-l'Abbaye;22;80;801;8031;2211;2209;80000;173;1T;05;0;04;80001;248000622;CC;2
80332;Forest-Montiers;22;80;801;8031;2211;2209;80000;000;9Z;00;0;04;80688;248000622;CC;6
80333;Fort-Mahon-Plage;22;80;801;8039;2211;2209;80000;000;9Z;00;0;06;80688;200011997;CC;6
80334;Fossemanant;22;80;802;8017;2202;2210;80000;032;1T;08;0;03;80021;248000648;CC;2
80335;Foucaucourt-en-Santerre;22;80;804;8015;2219;2211;80000;000;9Z;00;0;04;80186;248000549;CC;6
80336;Foucaucourt-Hors-Nesle;22;80;801;8032;2212;0055;80000;000;9Z;00;0;02;80606;248000580;CC;6
80337;Fouencamps;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80021;248000523;CC;2
80338;Fouilloy;22;80;802;8018;2202;2210;80207;032;1T;08;2;22;80212;248000499;CC;2
80339;Fouquescourt;22;80;803;8037;2219;2210;80000;000;9Z;00;0;03;80680;248000507;CC;6
80340;Fourcigny;22;80;802;8035;2202;2210;80000;000;9Z;00;0;03;76035;248000762;CC;6
80341;Fourdrinoy;22;80;802;8034;2202;2210;80000;032;1T;08;0;04;80021;248000481;CC;2
80342;Framerville-Rainecourt;22;80;804;8015;2219;2211;80000;000;9Z;00;0;04;80680;248000549;CC;6
80343;Framicourt;22;80;801;8022;2212;0055;80000;000;9Z;00;0;03;80373;248000580;CC;6
80344;Francières;22;80;801;8004;2211;2209;80000;173;1T;05;0;03;80001;248000705;CC;2
80345;Franleu;22;80;801;8040;2212;0055;80000;000;9Z;00;0;05;80308;248000663;CC;6
80346;Franqueville;22;80;802;8020;2202;2210;80000;032;1T;08;0;03;80241;248000457;CC;2
80347;Fransart;22;80;803;8037;2219;2210;80000;000;9Z;00;0;03;80685;248000507;CC;6
80348;Fransu;22;80;802;8020;2202;2210;80000;999;1T;00;0;03;80241;248000457;CC;3
80349;Fransures;22;80;803;8005;2202;2210;80000;032;1T;08;0;03;80211;248000523;CC;2
80350;Franvillers;22;80;802;8018;2202;2210;80000;032;1T;08;0;04;80212;248000499;CC;2
80351;Fréchencourt;22;80;802;8041;2202;2210;80000;032;1T;08;0;04;80021;248000697;CC;2
80352;Frémontiers;22;80;802;8017;2202;2210;80000;032;1T;08;0;03;80211;248000648;CC;2
80353;Fresnes-Mazancourt;22;80;804;8015;2219;2211;80000;000;9Z;00;0;03;80186;248000549;CC;6
80354;Fresnes-Tilloloy;22;80;801;8032;2212;0055;80000;000;9Z;00;0;03;80606;248000580;CC;6
80355;Fresneville;22;80;801;8032;2212;0055;80000;000;9Z;00;0;02;80606;248000580;CC;6
80356;Fresnoy-Andainville;22;80;801;8032;2212;0055;80000;000;9Z;00;0;02;80606;248000580;CC;6
80357;Fresnoy-au-Val;22;80;802;8026;2202;2210;80000;032;1T;08;0;04;80630;248000762;CC;2
80358;Fresnoy-en-Chaussée;22;80;803;8028;2202;2210;80000;000;9Z;00;0;03;80570;248000432;CC;6
80359;Fresnoy-lès-Roye;22;80;803;8038;2219;2210;80000;000;9Z;00;0;04;80685;ZZZZZZZZZ;;6
80360;Fressenneville;22;80;801;8046;2212;0055;80118;000;9Z;00;1;14;80308;248000630;CC;4
80361;Frettecuisse;22;80;801;8032;2212;0055;80000;000;9Z;00;0;02;80606;248000580;CC;6
80362;Frettemeule;22;80;801;8022;2212;0055;80000;000;9Z;00;0;04;80373;247600216;CC;6
80364;Friaucourt;22;80;801;8011;2212;0055;80107;000;9Z;00;1;12;80368;247600588;CC;6
80365;Fricamps;22;80;802;8035;2202;2210;80000;032;1T;08;0;03;80630;248000762;CC;2
80366;Fricourt;22;80;804;8006;2202;2210;80000;000;9Z;00;0;04;80016;248000747;CC;6
80367;Frise;22;80;804;8014;2202;2210;80000;000;9Z;00;0;03;80620;248000747;CC;6
80368;Friville-Escarbotin;22;80;801;8046;2212;0055;80206;000;9Z;00;2;22;80368;248000630;CC;4
80369;Frohen-sur-Authie;22;80;802;8012;2202;2210;80000;000;9Z;00;0;03;80253;248000689;CC;6
80371;Froyelles;22;80;801;8019;2211;2209;80000;000;9Z;00;0;02;80222;200011997;CC;6
80372;Frucourt;22;80;801;8023;2202;2210;80000;000;9Z;00;0;03;80606;248000614;CC;6
80373;Gamaches;22;80;801;8022;2212;0055;00156;000;9Z;00;1;13;80373;247600588;CC;4
80374;Gapennes;22;80;801;8031;2211;2209;80000;000;9Z;00;0;04;80001;248000622;CC;6
80375;Gauville;22;80;802;8035;2202;2210;80000;000;9Z;00;0;04;76035;248000762;CC;6
80376;Gentelles;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80799;248000499;CC;2
80377;Gézaincourt;22;80;802;8021;2202;2210;80000;000;9Z;00;0;04;80253;248000416;CC;6
