"CODGEO";"LIBGEO";"POP"
"01386";"SAINT-SORLIN-EN-BUGEY";700
"01387";"SAINT-SULPICE";95
"01388";"SAINT-TRIVIER-DE-COURTES";1045
"01389";"SAINT-TRIVIER-SUR-MOIGNANS";1270
"01390";"SAINT-VULBAS";935
"01391";"SALAVRE";295
"01392";"SAMOGNAT";190
"01393";"SANDRANS";460
"01396";"SAULT-BRENAZ";1035
"01397";"SAUVERNY";250
"01398";"SAVIGNEUX";490
"01399";"SEGNY";650
"01400";"SEILLONNAZ";115
"01401";"SERGY";610
"01402";"SERMOYER";605
"01403";"SERRIERES-DE-BRIORD";805
"01404";"SERRIERES-SUR-AIN";70
"01405";"SERVAS";520
"01406";"SERVIGNAT";190
"01407";"SEYSSEL";975
"01408";"SIMANDRE-SUR-SURAN";395
"01409";"SONGIEU";110
"01410";"SONTHONNAX-LA-MONTAGNE";115
"01411";"SOUCLIN";205
"01412";"SULIGNAT";370
"01413";"SURJOUX";50
"01414";"SUTRIEU";320
"01415";"TALISSIEU";295
"01416";"TENAY";1665
"01417";"THEZILLIEU";255
"01418";"THIL";400
"01419";"THOIRY";1860
"01420";"THOISSEY";1515
"01421";"TORCIEU";380
"01422";"TOSSIAT";555
"01423";"TOUSSIEUX";145
"01424";"TRAMOYES";460
"01425";"TRANCLIERE";175
"01426";"TREFFORT-CUISIAT";1095
"01427";"TREVOUX";4460
"01428";"VALEINS";55
"01429";"VANDEINS";140
"01430";"VARAMBON";350
"01431";"VAUX-EN-BUGEY";785
"01432";"VERJON";175
"01433";"VERNOUX";130
"01434";"VERSAILLEUX";215
"01435";"VERSONNEX";890
"01436";"VESANCY";330
"01437";"VESCOURS";195
"01439";"VESINES";120
"01441";"VIEU-D'IZENAVE";465
"01442";"VIEU";355
"01443";"VILLARS-LES-DOMBES";2300
"01444";"VILLEBOIS";635
"01445";"VILLEMOTIER";370
"01446";"VILLENEUVE";640
"01447";"VILLEREVERSURE";890
"01448";"VILLES";135
"01449";"VILLETTE-SUR-AIN";370
"01450";"VILLIEU-LOYES-MOLLON";1465
"01451";"VIRIAT";3605
"01452";"VIRIEU-LE-GRAND";825
"01453";"VIRIEU-LE-PETIT";240
"01454";"VIRIGNIN";425
"01456";"VONGNES";100
"01457";"VONNAS";2120
"02001";"ABBECOURT";390
"02002";"ACHERY";590
"02003";"ACY";850
"02004";"AGNICOURT-ET-SECHELLES";285
"02005";"AGUILCOURT";230
"02006";"AISONVILLE-ET-BERNOVILLE";250
"02007";"AIZELLES";75
"02008";"AIZY-JOUY";205
"02009";"ALAINCOURT";425
"02010";"ALLEMANT";70
"02011";"AMBLENY";885
"02012";"AMBRIEF";80
"02013";"AMIFONTAINE";385
"02014";"AMIGNY-ROUY";565
"02015";"ANCIENVILLE";20
"02016";"ANDELAIN";120
"02017";"ANGUILCOURT-LE-SART";285
"02018";"ANIZY-LE-CHATEAU";1860
"02019";"ANNOIS";375
"02020";"ANY-MARTIN-RIEUX";555
"02021";"ARCHON";90
"02022";"ARCY-SAINTE-RESTITUE";420
"02023";"ARMENTIERES-SUR-OURCQ";60
"02024";"ARRANCY";70
"02025";"ARTEMPS";235
"02026";"ARTONGES";65
"02027";"ASSIS-SUR-SERRE";305
"02028";"ATHIES-SOUS-LAON";1995
"02029";"ATTILLY";445
"02030";"AUBENCHEUL-AUX-BOIS";265
"02031";"AUBENTON";1085
"02032";"AUBIGNY-AUX-KAISNES";255
"02033";"AUBIGNY-EN-LAONNOIS";80
"02034";"AUDIGNICOURT";115
"02035";"AUDIGNY";270
"02036";"AUGY";70
"02037";"AULNOIS-SOUS-LAON";750
"02038";"AUTELS";75
"02039";"AUTREMENCOURT";115
"02040";"AUTREPPES";220
"02041";"AUTREVILLE";575
"02042";"AZY-SUR-MARNE";360
"02043";"BAGNEUX";90
"02044";"BANCIGNY";50
"02046";"BARENTON-BUGNY";510
"02047";"BARENTON-CEL";120
"02048";"BARENTON-SUR-SERRE";110
"02049";"BARISIS";700
"02050";"BARZY-EN-THIERACHE";340
"02051";"BARZY-SUR-MARNE";255
"02052";"BASSOLES-AULERS";110
"02053";"BAULNE-EN-BRIE";170
"02054";"BAZOCHES-SUR-VESLES";330
"02055";"BEAUME";65
"02056";"BEAUMONT-EN-BEINE";115
"02057";"BEAUREVOIR";1320
"02058";"BEAURIEUX";580
"02059";"BEAUTOR";3540
"02060";"BEAUVOIS-EN-VERMANDOIS";225
"02061";"BECQUIGNY";305
"02062";"BELLEAU";100
"02063";"BELLENGLISE";545
"02064";"BELLEU";3580
"02065";"BELLICOURT";650
"02066";"BENAY";235
"02067";"BERGUES-SUR-SAMBRE";300
"02068";"BERLANCOURT";125
"02069";"BERLISE";110
"02070";"BERNOT";590
"02071";"BERNY-RIVIERE";445
"02072";"BERRIEUX";190
"02073";"BERRY-AU-BAC";365
"02074";"BERTAUCOURT-EPOURDON";360
"02075";"BERTHENICOURT";210
"02076";"BERTRICOURT";40
"02077";"BERZY-LE-SEC";305
"02078";"BESME";125
"02079";"BESMONT";215
"02080";"BESNY-ET-LOIZY";225
"02081";"BETHANCOURT-EN-VAUX";210
"02082";"BEUGNEUX";50
"02083";"BEUVARDES";450
"02084";"BEZU-LE-GUERY";80
"02085";"BEZU-SAINT-GERMAIN";255
"02086";"BICHANCOURT";830
"02087";"BIEUXY";60
"02088";"BIEVRES";80
"02089";"BILLY-SUR-AISNE";1195
"02090";"BILLY-SUR-OURCQ";190
"02091";"BLANZY-LES-FISMES";105
"02093";"BLERANCOURT";1170
"02094";"BLESMES";270
"02095";"BOHAIN-EN-VERMANDOIS";7435
"02096";"BOIS-LES-PARGNY";195
"02097";"BONCOURT";320
"02098";"BONNEIL";245
"02099";"BONNESVALYN";175
"02100";"BONY";110
"02101";"BOSMONT-SUR-SERRE";395
"02102";"BOUCONVILLE-VAUCLAIR";205
"02103";"BOUE";1530
"02104";"BOUFFIGNEREUX";85
"02105";"BOURESCHES";190
"02106";"BOURG-ET-COMIN";655
"02107";"BOURGUIGNON-SOUS-COUCY";45
"02108";"BOURGUIGNON-SOUS-MONTBAVIN";135
"02109";"BOUTEILLE";595
"02110";"BRAINE";2035
"02111";"BRANCOURT-EN-LAONNOIS";445
"02112";"BRANCOURT-LE-GRAND";655
"02114";"BRASLES";1060
"02115";"BRAYE-EN-LAONNOIS";260
"02116";"BRAYE-EN-THIERACHE";265
"02117";"BRAY-SAINT-CHRISTOPHE";110
"02118";"BRAYE";145
"02119";"BRECY";260
"02120";"BRENELLE";175
"02121";"BRENY";320
"02122";"BRIE";90
"02123";"BRISSAY-CHOIGNY";340
"02124";"BRISSY-HAMEGICOURT";805
"02125";"BRUMETZ";235
"02126";"BRUNEHAMEL";650
"02127";"BRUYERES-SUR-FERE";235
"02128";"BRUYERES-ET-MONTBERAULT";1085
"02129";"BRUYS";55
"02130";"BUCILLY";275
"02131";"BUCY-LE-LONG";1725
"02132";"BUCY-LES-CERNY";220
"02133";"BUCY-LES-PIERREPONT";560
"02134";"BUIRE";745
"02135";"BUIRONFOSSE";1300
"02136";"BURELLES";140
"02137";"BUSSIARES";50
"02138";"BUZANCY";95
"02139";"CAILLOUEL-CREPIGNY";230
"02140";"CAMELIN";330
"02141";"CAPELLE";2270
"02142";"CASTRES";145
"02143";"CATELET";305
"02144";"CAULAINCOURT";140
"02145";"CAUMONT";205
"02146";"CELLES-LES-CONDE";95
"02147";"CELLE-SOUS-MONTMIRAIL";105
"02148";"CELLES-SUR-AISNE";240
"02149";"CERIZY";85
"02150";"CERNY-EN-LAONNOIS";30
"02151";"CERNY-LES-BUCY";135
"02152";"CERSEUIL";60
"02153";"CESSIERES";230
"02154";"CHACRISE";220
"02155";"CHAILLEVOIS";225
"02156";"CHALANDRY";190
"02157";"CHAMBRY";515
"02158";"CHAMOUILLE";140
"02159";"CHAMPS";390
"02160";"CHAOURSE";495
"02161";"CHAPELLE-MONTHODON";150
"02162";"CHAPELLE-SUR-CHEZY";170
"02163";"CHARLY-SUR-MARNE";2120
"02164";"CHARMEL";165
"02165";"CHARMES";1825
"02167";"CHASSEMY";490
"02168";"CHATEAU-THIERRY";13480
"02169";"CHATILLON-LES-SONS";75
"02170";"CHATILLON-SUR-OISE";125
"02171";"CHAUDARDES";105
"02172";"CHAUDUN";240
"02173";"CHAUNY";14260
"02174";"CHAVIGNON";555
"02175";"CHAVIGNY";95
"02176";"CHAVONNE";105
"02177";"CHERET";90
"02178";"CHERMIZY-AILLES";100
"02179";"CHERY-CHARTREUVE";255
"02180";"CHERY-LES-POUILLY";635
"02181";"CHERY-LES-ROZOY";175
"02182";"CHEVENNES";85
"02183";"CHEVREGNY";130
"02184";"CHEVRESIS-MONCEAU";315
"02185";"CHEZY-EN-ORXOIS";315
"02186";"CHEZY-SUR-MARNE";1020
"02187";"CHIERRY";1170
"02188";"CHIGNY";240
"02189";"CHIVRES-EN-LAONNOIS";340
"02190";"CHIVRES-VAL";490
"02191";"CHIVY-LES-ETOUVELLES";485
"02192";"CHOUY";230
"02193";"CIERGES";105
"02194";"CILLY";230
"02195";"CIRY-SALSOGNE";485
"02196";"CLACY-ET-THIERRET";340
"02197";"CLAIRFONTAINE";490
"02198";"CLAMECY";175
"02199";"CLASTRES";515
"02200";"CLERMONT-LES-FERMES";200
"02201";"COEUVRES-ET-VALSERY";390
"02203";"COINCY";855
"02204";"COINGT";90
"02205";"COLLIGIS-CRANDELAIN";105
"02206";"COLONFAY";20
"02207";"COMMENCHON";80
"02208";"CONCEVREUX";230
"02209";"CONDE-EN-BRIE";660
"02210";"CONDE-SUR-AISNE";225
"02211";"CONDE-SUR-SUIPPE";320
"02212";"CONDREN";660
"02213";"CONNIGIS";195
"02214";"CONTESCOURT";45
"02215";"CORBENY";480
"02216";"CORCY";275
"02217";"COUCY-LE-CHATEAU-AUFFRIQUE";1070
"02218";"COUCY-LES-EPPES";545
"02219";"COUCY-LA-VILLE";260
"02220";"COULONGES-COHAN";380
"02221";"COUPRU";160
"02222";"COURBES";5
"02223";"COURBOIN";290
"02224";"COURCELLES-SUR-VESLE";175
"02225";"COURCHAMPS";25
"02226";"COURMELLES";2030
"02227";"COURMONT";140
"02228";"COURTEMONT-VARENNES";205
"02229";"COURTRIZY-ET-FUSSIGNY";35
"02230";"COUVRELLES";135
"02231";"COUVRON-ET-AUMENCOURT";745
"02232";"COYOLLES";235
"02233";"CRAMAILLE";95
"02234";"CRAONNE";55
"02235";"CRAONNELLE";105
"02236";"CRECY-AU-MONT";265
"02237";"CRECY-SUR-SERRE";1695
"02238";"CREPY";1345
"02239";"CREZANCY";950
"02240";"CROIX-FONSOMME";215
"02241";"CROIX-SUR-OURCQ";80
"02242";"CROUTTES-SUR-MARNE";505
"02243";"CROUY";2865
"02244";"CRUPILLY";85
"02245";"CUFFIES";1555
"02246";"CUGNY";395
"02247";"CUGNY-LES-CROUTTES";0
"02248";"CUIRIEUX";100
"02249";"CUIRY-HOUSSE";155
"02250";"CUIRY-LES-CHAUDARDES";10
"02251";"CUIRY-LES-IVIERS";45
"02252";"CUISSY-ET-GENY";60
"02253";"CUISY-EN-ALMONT";315
"02254";"CUTRY";55
"02255";"CYS-LA-COMMUNE";130
"02256";"DAGNY-LAMBERCY";225
"02257";"DALLON";360
"02258";"DAMMARD";395
"02259";"DAMPLEUX";220
"02260";"DANIZY";575
"02261";"DERCY";360
"02262";"DEUILLET";80
"02263";"DHUIZEL";110
"02264";"DIZY-LE-GROS";830
"02265";"DOHIS";160
"02266";"DOLIGNON";110
"02267";"DOMMIERS";245
"02268";"DOMPTIN";280
"02269";"DORENGT";200
"02270";"DOUCHY";150
"02271";"DRAVEGNY";170
"02272";"DROIZY";95
"02273";"DURY";190
"02274";"EBOULEAU";195
"02275";"EFFRY";550
"02276";"ENGLANCOURT";130
"02277";"EPAGNY";170
"02278";"EPARCY";85
"02279";"EPAUX-BEZU";275
"02280";"EPIEDS";285
"02281";"EPINE-AUX-BOIS";190
"02282";"EPPES";370
"02283";"ERLON";290
"02284";"ERLOY";130
"02286";"ESQUEHERIES";1085
"02287";"ESSIGNY-LE-GRAND";695
"02288";"ESSIGNY-LE-PETIT";340
"02289";"ESSISES";100
"02290";"ESSOMES-SUR-MARNE";1875
"02291";"ESTREES";330
"02292";"ETAMPES-SUR-MARNE";1360
"02293";"ETAVES-ET-BOCQUIAUX";610
"02294";"ETOUVELLES";85
"02295";"ETREAUPONT";855
"02296";"ETREILLERS";1100
"02297";"ETREPILLY";100
"02298";"ETREUX";1680
"02299";"EVERGNICOURT";485
"02301";"FAUCOUCOURT";225
"02302";"FAVEROLLES";235
"02303";"FAYET";570
"02304";"FERE";3625
"02305";"FERE-EN-TARDENOIS";3080
"02306";"FERTE-CHEVRESIS";620
"02307";"FERTE-MILON";1690
"02308";"FESMY-LE-SART";550
"02309";"FESTIEUX";405
"02310";"FIEULAINE";255
"02311";"FILAIN";85
"02312";"FLAMENGRIE";1010
"02313";"FLAVIGNY-LE-GRAND-ET-BEAURAIN";505
"02315";"FLAVY-LE-MARTEL";1665
"02316";"FLEURY";50
"02317";"FLUQUIERES";195
"02318";"FOLEMBRAY";1525
"02319";"FONSOMME";485
"02320";"FONTAINE-LES-CLERCS";260
"02321";"FONTAINE-LES-VERVINS";845
"02322";"FONTAINE-NOTRE-DAME";310
"02323";"FONTAINE-UTERTE";200
"02324";"FONTENELLE";365
