"CODGEO";"LIBGEO";"POP"
"01457";"VONNAS";2444
"02001";"ABBECOURT";429
"02002";"ACHERY";528
"02003";"ACY";952
"02004";"AGNICOURT-ET-SECHELLES";192
"02005";"AGUILCOURT";364
"02006";"AISONVILLE-ET-BERNOVILLE";281
"02007";"AIZELLES";104
"02008";"AIZY-JOUY";228
"02009";"ALAINCOURT";472
"02010";"ALLEMANT";112
"02011";"AMBLENY";1084
"02012";"AMBRIEF";84
"02013";"AMIFONTAINE";436
"02014";"AMIGNY-ROUY";608
"02015";"ANCIENVILLE";72
"02016";"ANDELAIN";168
"02017";"ANGUILCOURT-LE-SART";228
"02018";"ANIZY-LE-CHATEAU";1928
"02019";"ANNOIS";372
"02020";"ANY-MARTIN-RIEUX";472
"02021";"ARCHON";76
"02022";"ARCY-SAINTE-RESTITUE";404
"02023";"ARMENTIERES-SUR-OURCQ";88
"02024";"ARRANCY";60
"02025";"ARTEMPS";333
"02026";"ARTONGES";152
"02027";"ASSIS-SUR-SERRE";228
"02028";"ATHIES-SOUS-LAON";2152
"02029";"ATTILLY";440
"02030";"AUBENCHEUL-AUX-BOIS";272
"02031";"AUBENTON";704
"02032";"AUBIGNY-AUX-KAISNES";304
"02033";"AUBIGNY-EN-LAONNOIS";156
"02034";"AUDIGNICOURT";104
"02035";"AUDIGNY";176
"02036";"AUGY";48
"02037";"AULNOIS-SOUS-LAON";1244
"02038";"AUTELS";72
"02039";"AUTREMENCOURT";156
"02040";"AUTREPPES";136
"02041";"AUTREVILLE";761
"02042";"AZY-SUR-MARNE";381
"02043";"BAGNEUX";60
"02044";"BANCIGNY";28
"02046";"BARENTON-BUGNY";540
"02047";"BARENTON-CEL";160
"02048";"BARENTON-SUR-SERRE";100
"02049";"BARISIS";648
"02050";"BARZY-EN-THIERACHE";296
"02051";"BARZY-SUR-MARNE";384
"02052";"BASSOLES-AULERS";128
"02053";"BAULNE-EN-BRIE";240
"02054";"BAZOCHES-SUR-VESLES";416
"02055";"BEAUME";128
"02056";"BEAUMONT-EN-BEINE";128
"02057";"BEAUREVOIR";1564
"02058";"BEAURIEUX";752
"02059";"BEAUTOR";3013
"02060";"BEAUVOIS-EN-VERMANDOIS";308
"02061";"BECQUIGNY";272
"02062";"BELLEAU";176
"02063";"BELLENGLISE";372
"02064";"BELLEU";4016
"02065";"BELLICOURT";676
"02066";"BENAY";212
"02067";"BERGUES-SUR-SAMBRE";164
"02068";"BERLANCOURT";72
"02069";"BERLISE";108
"02070";"BERNOT";480
"02071";"BERNY-RIVIERE";564
"02072";"BERRIEUX";120
"02073";"BERRY-AU-BAC";596
"02074";"BERTAUCOURT-EPOURDON";516
"02075";"BERTHENICOURT";204
"02076";"BERTRICOURT";72
"02077";"BERZY-LE-SEC";380
"02078";"BESME";132
"02079";"BESMONT";140
"02080";"BESNY-ET-LOIZY";376
"02081";"BETHANCOURT-EN-VAUX";364
"02082";"BEUGNEUX";68
"02083";"BEUVARDES";620
"02084";"BEZU-LE-GUERY";188
"02085";"BEZU-SAINT-GERMAIN";492
"02086";"BICHANCOURT";924
"02087";"BIEUXY";44
"02088";"BIEVRES";68
"02089";"BILLY-SUR-AISNE";1196
"02090";"BILLY-SUR-OURCQ";240
"02091";"BLANZY-LES-FISMES";116
"02093";"BLERANCOURT";1169
